Spinosaurus: Lost Giant of the Cretaceous,Nizar Ibrahim,Illinois,Chicago,60601,10/12/2015,7:00 p.m.
Spinosaurus: Lost Giant of the Cretaceous,Nizar Ibrahim,Illinois,Chicago,60601,10/13/2015,7:00 p.m.
The Lens of Adventure,Bryan Smith,Colorado,Breckenridge,80424,10/14/2015,7:30 p.m.
When Tough Meets Tech: Exploration’s New Frontier,Mike Libecki,,"Washington, D.C.",20036,10/15/2015,7:30 p.m.
Ocean Wild,Brian Skerry,New South Wales,Sydney,2000,10/17/2015,2:00 p.m.
Pristine Seas,Enric Sala,New York,New York,10012,10/20/2015,7:30 p.m.
Untamed Antarctica,Mike Libecki,Wisconsin,Madison,53703,10/20/2015,7:30 p.m.
Pristine Seas: Exploring Underwater Edens,Enric Sala,New York,New York,10012,10/20/2015,3:30 p.m.
Ocean Wild,Brian Skerry,New Zealand,Auckland,1010,10/21/2015,7:30 p.m.
Ocean Wild,Brian Skerry,New Zealand,Wellington,6011,10/22/2015,7:30 p.m.
The Defenders: Inside the Wildlife Trade,Bryan Christy,,"Washington, D.C.",20036,10/22/2015,7:30 p.m.
Ocean Wild,Brian Skerry,Western Australia,Perth,6000,10/24/2015,2:00 p.m.
Exploring Mars,Kobie Boykins,Colorado,Lone Tree,80124,10/25/2015,7:30 p.m.
Blue Ocean,Sylvia Earle,Alberta,Calgary,T2G 0K9,10/25/2015,2:00 p.m.
Untamed Antarctica,Mike Libecki,California,Santa Barbara,93117,10/25/2015,3:00 p.m.
Pristine Seas: Exploring Underwater Edens,Enric Sala,California,Los Angeles,90401,10/29/2015,7:30 p.m.
Coral Kingdoms and Empires of Ice,David Doubilet and Jennifer Hayes,Maryland,Bel Air,21015,10/29/2015,7:30 p.m.
Pristine Seas: Exploring Underwater Edens,Enric Sala,California,Los Angeles,90401,10/29/2015,10:00 a.m.
Pristine Seas: Exploring Underwater Edens,Enric Sala,California,Los Angeles,90401,10/30/2015,7:30 p.m.
Pristine Seas: Exploring Underwater Edens,Enric Sala,California,Los Angeles,90401,10/30/2015,10:00 a.m.
Into Africa’s Okavango: Measuring a Mighty Wilderness,Steve Boyes and Jer Thorp,Washington,Seattle,98101,11/1/2015,2:00 p.m.
Into Africa’s Okavango: Measuring a Mighty Wilderness,Steve Boyes and Jer Thorp,Washington,Seattle,98101,11/2/2015,7:30 p.m.
The Search for Life Beyond Earth,Kevin Hand,Washington,Spokane,99201,11/3/2015,7:00 p.m.
Into Africa’s Okavango: Measuring a Mighty Wilderness,Steve Boyes and Jer Thorp,Washington,Seattle,98101,11/3/2015,7:30 p.m.
Building the Photo Ark,Joel Sartore,,"Washington, D.C.",20036,11/4/2015,7:30 p.m.
Building the Photo Ark,Joel Sartore,,"Washington, D.C.",20036,11/4/2015,10:15 a.m.
It’s What I Do: A Photographer’s Life of Love and War,Lynsey Addario,,"Washington, D.C.",20036,11/11/2015,7:30 p.m.
Telluride Mountainfilm,David Holbrooke,,"Washington, D.C.",20036,11/12/2015,7:00 p.m.
Telluride Mountainfilm,David Holbrooke,,"Washington, D.C.",20036,11/13/2015,7:00 p.m.
Telluride Mountainfilm,David Holbrooke,,"Washington, D.C.",20036,11/14/2015,7:00 p.m.
Ocean Wild: The Light Beneath the Seas,Brian Skerry,Ontario,Toronto,M5J 2H5,11/15/2015,2:00 p.m.
Ocean Wild: The Light Beneath the Seas,Brian Skerry,Ontario,Toronto,M5J 2H5,11/16/2015,8:00 p.m.
Spinosaurus: Lost Giant of the Cretaceous,Nizar Ibrahim,New York,New York,10012,11/17/2015,7:30 p.m.
Ocean Wild: The Light Beneath the Seas,Brian Skerry,Ontario,Toronto,M5J 2H5,11/17/2015,8:00 p.m.
Spinosaurus: Lost Giant of the Cretaceous,Nizar Ibrahim,New York,New York,10012,11/17/2015,3:30 p.m.
Blue World,Sylvia Earle,Arizona,Mesa,85201,11/18/2015,7:30 p.m.
Coral Kingdoms and Empires of Ice,David Doubilet and Jennifer Hayes,Colorado,Breckenridge,80424,11/18/2015,7:30 p.m.
Pristine Seas,Enric Sala,,"Washington, D.C.",20036,11/19/2015,7:30 p.m.
Exploring the Deep Frontier,Sylvia Earle,Arizona,Mesa,85201,11/19/2015,11:15 a.m.
The High Frontier: Exploring the Forest Canopy,Mark Moffett,California,Santa Barbara,93117,11/22/2015,3:00 p.m.
The Making of Meru,Chai Vasarhelyi and Jimmy Chin,,"Washington, D.C.",20036,12/1/2015,7:30 p.m.
Ocean Wild: The Light Beneath the Seas,Brian Skerry,Illinois,Chicago,60601,12/7/2015,7:00 p.m.
"Rhinos, Rickshaws & Revolutions: My Search for Truth",Ami Vitale,,"Washington, D.C.",20036,12/8/2015,7:30 p.m.
Ocean Wild: The Light Beneath the Seas,Brian Skerry,Illinois,Chicago,60601,12/8/2015,7:00 p.m.
"Rhinos, Rickshaws, and Revolutions: My Search for Truth",Ami Vitale,,"Washington, D.C.",20036,12/8/2015,10:15 a.m.
Spinosaurus: Lost Giant of the Cretaceous,Nizar Ibrahim,California,Los Angeles,90401,12/10/2015,7:30 p.m.
Spinosaurus: Lost Giant of the Cretaceous – Student Matinee,Nizar Ibrahim,California,Los Angeles,90401,12/10/2015,10:00 a.m.
Spinosaurus: Lost Giant of the Cretaceous,Nizar Ibrahim,California,Los Angeles,90401,12/11/2015,7:30 p.m.
Spinosaurus: Lost Giant of the Cretaceous – Student Matinee,Nizar Ibrahim,California,Los Angeles,90401,12/11/2015,10:00 a.m.
Gorongosa Reborn: A Cameraman’s Journal,Bob Poole,Alberta,Calgary,T2G 0K9,1/17/2016,2:00 p.m.
Gorongosa Reborn: A Cameraman’s Journal,Bob Poole,Alberta,Calgary,T2G 0K9,1/18/2016,7:00 p.m.
Gorongosa Reborn: A Cameraman’s Journal – Student Matinee,Bob Poole,Alberta,Calgary,T2G 0K9,1/18/2016,10:15 a.m.
Where the Wild Things Live,Vincent J. Musi,Florida,Tampa,33602,1/19/2016,7:00 p.m.
Gorongosa Reborn: A Cameraman’s Journal – Student Matinee,Bob Poole,Alberta,Calgary,T2G 0K9,1/19/2016,10:15 a.m.
Gorongosa Reborn: A Cameraman’s Journal,Bob Poole,Arizona,Mesa,85201,1/20/2016,7:30 p.m.
Gorongosa Reborn: A Cameraman’s Journal – Student Matinee,Bob Poole,Arizona,Mesa,85201,1/21/2016,11:15 a.m.
Ocean Wild,Brian Skerry,Singapore,Singapore,38931,1/24/2016,3:00 p.m.
Spinosaurus: Lost Giant of the Cretaceous,Nizar Ibrahim,Washington,Seattle,98101,1/24/2016,2:00 p.m.
Spinosaurus: Lost Giant of the Cretaceous,Nizar Ibrahim,Washington,Seattle,98101,1/25/2016,7:30 p.m.
Spinosaurus: Lost Giant of the Cretaceous – Student Matinee,Nizar Ibrahim,Washington,Seattle,98101,1/25/2016,10:30 a.m.
Spinosaurus: Lost Giant of the Cretaceous,Nizar Ibrahim,Washington,Seattle,98101,1/26/2016,7:30 p.m.
Spinosaurus: Lost Giant of the Cretaceous – Student Matinee,Nizar Ibrahim,Washington,Seattle,98101,1/26/2016,10:30 a.m.
"On the Trail of Big Cats: Tigers, Cougars, and Snow Leopards",Steve Winter,Nebraska,Omaha,68102,2/2/2016,7:30 p.m.
"On the Trail of Big Cats: Tigers, Cougars, and Snow Leopards",Steve Winter,Washington,Spokane,99201,2/9/2016,7:00 p.m.
Spinosaurus: Lost Giant of the Cretaceous,Nizar Ibrahim,Arizona,Mesa,85201,2/10/2016,7:30 p.m.
Spinosaurus: Lost Giant of the Cretaceous – Student Matinee,Nizar Ibrahim,Arizona,Mesa,85201,2/11/2016,9:30 a.m.
Spinosaurus: Lost Giant of the Cretaceous,Nizar Ibrahim,Arizona,Mesa,85201,2/11/2016,11:45 a.m.
Gorongosa Reborn: A Cameraman’s Journal,Bob Poole,California,Los Angeles,90401,2/18/2016,7:30 p.m.
Gorongosa Reborn: A Cameraman’s Journal – Student Matinee,Bob Poole,California,Los Angeles,90401,2/18/2016,10:00 a.m.
Gorongosa Reborn: A Cameraman’s Journal,Bob Poole,California,Los Angeles,90401,2/19/2016,7:30 p.m.
Gorongosa Reborn: A Cameraman’s Journal – Student Matinee,Bob Poole,California,Los Angeles,90401,2/19/2016,10:00 a.m.
Passion 8000: Dream of a Lifetime,Gerlinde Kaltenbrunner,Colorado,Lone Tree,80124,2/21/2016,7:30 p.m.
Spinosaurus: Lost Giant of the Cretaceous,Nizar Ibrahim,Alberta,Calgary,T2G 0K9,2/21/2016,2:00 p.m.
Gorongosa Reborn: A Cameraman’s Journal,Bob Poole,Washington,Seattle,98101,2/21/2016,2:00 p.m.
Spinosaurus: Lost Giant of the Cretaceous,Nizar Ibrahim,Alberta,Calgary,T2G 0K9,2/22/2016,7:00 p.m.
Gorongosa Reborn: A Cameraman’s Journal,Bob Poole,Washington,Seattle,98101,2/22/2016,7:30 p.m.
Spinosaurus: Lost Giant of the Cretaceous – Student Matinee,Nizar Ibrahim,Alberta,Calgary,T2G 0K9,2/22/2016,10:15 a.m.
Gorongosa Reborn: A Cameraman’s Journal – Student Matinee,Bob Poole,Washington,Seattle,98101,2/22/2016,10:30 a.m.
K2: Danger and Desire on the Savage Mountain,Gerlinde Kaltenbrunner,New York,New York,10012,2/23/2016,7:30 p.m.
Gorongosa Reborn: A Cameraman’s Journal,Bob Poole,Washington,Seattle,98101,2/23/2016,7:30 p.m.
"On the Trail of Big Cats: Tigers, Cougars, and Snow Leopards",Steve Winter,Missouri,Kansas City,64108,2/23/2016,7:30 p.m.
Stranger in a Strange Land,Jodi Cobb,Florida,Tampa,33602,2/23/2016,7:00 p.m.
Gorongosa Reborn: A Cameraman’s Journal – Student Matinee,Bob Poole,Washington,Seattle,98101,2/23/2016,10:30 a.m.
K2: Danger and Desire on the Savage Mountain – Student Matinee,Gerlinde Kaltenbrunner,New York,New York,10012,2/23/2016,3:30 p.m.
Spinosaurus: Lost Giant of the Cretaceous – Student Matinee,Nizar Ibrahim,Alberta,Calgary,T2G 0K9,2/23/2016,10:15 a.m.
K2: Danger and Desire on the Savage Mountain,Gerlinde Kaltenbrunner,Ontario,Toronto,M5J 2H5,2/28/2016,2:00 p.m.
K2: Danger and Desire on the Savage Mountain,Gerlinde Kaltenbrunner,Ontario,Toronto,M5J 2H5,2/29/2016,8:00 p.m.
K2: Danger and Desire on the Savage Mountain,Gerlinde Kaltenbrunner,Ontario,Toronto,M5J 2H5,3/1/2016,8:00 p.m.
K2: Danger and Desire on the Savage Mountain,Gerlinde Kaltenbrunner,Arizona,Mesa,85201,3/2/2016,7:30 p.m.
K2: Danger and Desire on the Savage Mountain – Student Matinee,Gerlinde Kaltenbrunner,Arizona,Mesa,85201,3/2/2016,11:15 a.m.
"On the Trail of Big Cats: Tigers, Cougars, and Snow Leopards",Steve Winter,California,Santa Barbara,93117,3/6/2016,3:00 p.m.
Where the Wild Things Live,Vincent J. Musi,Washington,Spokane,99201,3/8/2016,7:00 p.m.
Stranger in a Strange Land,Jodi Cobb,Wisconsin,Madison,53703,3/8/2016,7:30 p.m.
Untamed Wild,Cory Richards,Nebraska,Omaha,68102,3/8/2016,7:30 p.m.
Untamed Antarctica,Mike Libecki and Cory Richards,Missouri,Kansas City,64108,3/15/2016,7:30 p.m.
"Rhinos, Rickshaws & Revolutions: My Search for Truth",Ami Vitale,Washington,Seattle,98101,3/20/2016,2:00 p.m.
Gorongosa Reborn: A Cameraman’s Journal,Bob Poole,Illinois,Chicago,60601,3/21/2016,7:00 p.m.
"Rhinos, Rickshaws & Revolutions: My Search for Truth",Ami Vitale,Washington,Seattle,98101,3/21/2016,7:30 p.m.
"Rhinos, Rickshaws, & Revolutions: My Search for Truth – Student Matinee",Ami Vitale,Washington,Seattle,98101,3/21/2016,10:30 a.m.
Gorongosa Reborn: A Cameraman’s Journal,Bob Poole,Illinois,Chicago,60601,3/22/2016,7:00 p.m.